,Year,Month,Days,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
193,2022,4,25,0,0,0,7,2,3,1,86,84.11,70.0
194,2022,3,26,5,1,0,1,2,25,0,100,133.64,70.0
195,2022,5,23,0,0,0,1,2,68,1,88,85.5,40.0
196,2022,5,27,4,0,0,1,2,58,1,100,115.71,139.0
197,2022,12,12,0,0,0,1,7,0,4,85,84.8,99.0
198,2022,3,7,0,0,0,1,3,0,0,84,79.07,102.75
199,2021,12,31,4,0,1,1,3,0,1,81,105.58,85.0
200,2022,8,18,3,0,0,1,5,64,1,100,86.65,113.05
201,2021,6,10,3,0,0,1,3,103,1,99,87.1,85.0
202,2022,4,23,5,1,0,1,3,64,1,100,136.41,241.53
203,2022,1,29,5,1,0,1,3,0,1,100,122.01,139.0
204,2022,9,28,2,0,0,1,7,24,0,100,90.55,70.0
205,2021,5,2,6,1,0,5,3,25,0,84,75.99,70.0
206,2022,3,19,5,1,0,1,3,24,0,100,142.26,70.0
207,2021,8,16,0,0,0,1,5,103,1,100,79.18,85.0
208,2022,1,16,6,1,0,1,2,0,0,99,83.51,90.0
209,2022,12,25,6,1,0,1,3,58,0,94,83.73,104.0
210,2022,7,14,3,0,0,8,7,0,0,100,107.72,179.0
211,2022,12,26,0,0,0,1,2,9,1,99,82.32,75.6
212,2022,10,21,4,0,0,1,3,64,3,100,115.9,163.93
213,2021,6,18,4,0,1,2,3,1,1,94,120.05,100.0
214,2022,12,27,1,0,0,3,3,37,1,99,89.3,90.12
215,2022,5,26,3,0,0,5,6,0,1,100,94.61,137.8
216,2022,10,26,2,0,0,1,7,0,1,100,99.19,99.0
217,2022,8,5,4,0,0,1,3,20,1,100,119.15,102.44
218,2022,12,19,0,0,0,1,2,106,4,77,86.44,98.8
219,2022,2,7,0,0,0,1,6,64,1,94,82.99,99.13
220,2021,12,27,0,0,0,1,3,64,1,99,85.63,80.75
221,2022,9,12,0,0,0,1,3,5,0,100,85.45,65.0
222,2022,4,1,4,0,0,1,3,64,1,100,126.56,125.13
223,2022,9,28,2,0,0,1,3,24,0,100,90.55,70.0
224,2022,4,28,3,0,0,1,3,0,1,100,98.14,129.0
225,2022,8,31,2,0,0,1,5,9,1,95,79.46,104.16
226,2022,7,24,6,1,0,1,7,58,3,97,89.21,99.0
227,2022,4,25,0,0,0,1,3,0,1,86,84.11,85.0
228,2022,3,10,3,0,0,1,2,35,0,100,104.51,195.0
229,2022,3,12,5,1,0,1,2,0,1,100,149.7,129.0
230,2022,8,21,6,1,0,5,3,3,0,72,82.68,70.0
231,2021,11,23,1,0,0,2,3,1,1,86,77.69,105.0
232,2021,3,1,0,0,0,1,3,1,1,99,92.14,95.0
233,2022,7,1,4,0,0,1,3,0,1,100,124.75,79.0
234,2022,10,14,4,0,0,2,3,58,1,100,132.17,159.0
235,2022,10,7,4,0,0,2,2,64,1,100,171.94,154.23
236,2022,12,26,0,0,0,1,1,64,1,99,82.32,96.72
237,2022,8,5,4,0,0,2,5,0,1,100,119.15,147.6
238,2022,4,22,4,0,0,1,3,106,1,100,145.64,130.0
239,2022,4,14,3,0,0,1,1,64,0,100,87.7,98.8
240,2022,10,24,0,0,0,3,5,15,0,100,96.98,80.0
241,2022,11,15,1,0,0,1,7,0,3,99,97.23,124.0
242,2022,10,28,4,0,0,2,2,0,1,95,168.05,199.0
243,2022,7,30,5,1,0,1,2,15,1,100,150.52,110.0
244,2022,12,7,2,0,0,1,2,0,0,80,80.65,95.0
245,2022,3,19,5,1,0,1,2,0,1,100,142.26,174.0
246,2022,2,4,4,0,0,1,3,49,1,100,111.79,114.22
247,2022,2,8,1,0,0,1,3,106,4,88,76.98,99.95
248,2022,2,1,1,0,0,2,6,64,1,100,78.92,96.62
249,2022,8,20,5,1,0,1,3,104,0,100,100.31,99.0
250,2022,12,5,0,0,0,1,3,24,0,100,100.87,70.0
251,2022,5,6,4,0,0,2,7,104,3,100,135.53,172.8
252,2022,3,27,6,1,0,1,3,0,1,63,79.46,80.0
253,2022,10,28,4,0,0,2,7,15,0,95,168.05,179.1
254,2022,10,22,5,1,0,1,6,58,1,100,136.45,229.0
255,2022,9,2,4,0,0,2,3,1,0,100,127.68,126.65
256,2022,9,14,2,0,0,1,3,24,0,100,82.88,70.0
257,2021,12,31,4,0,1,1,3,28,0,81,105.58,89.25
258,2022,11,18,4,0,0,2,6,1,1,99,129.02,159.0
259,2022,10,29,5,1,0,1,2,0,1,100,173.64,159.0
260,2022,3,3,3,0,0,1,0,0,1,93,86.11,85.0
261,2022,11,28,0,0,0,1,6,58,3,65,82.16,99.0
262,2022,12,10,5,1,0,1,3,104,3,99,148.0,194.0
263,2022,5,28,5,1,0,0,3,0,0,100,121.25,119.0
264,2022,3,21,0,0,0,5,3,64,3,100,93.14,113.76
265,2022,9,27,1,0,0,1,6,0,1,100,83.68,129.0
266,2022,10,22,5,1,0,1,3,0,1,100,136.45,169.0
267,2021,7,30,4,0,0,1,2,1,0,100,114.16,105.0
268,2021,1,15,4,0,0,1,6,1,1,83,97.43,115.0
269,2021,8,27,4,0,0,2,2,1,1,100,106.66,104.0
270,2021,12,28,1,0,0,1,3,104,3,87,76.94,89.0
271,2022,7,4,0,0,0,1,3,0,1,64,101.11,95.0
272,2022,8,18,3,0,0,1,3,9,3,100,86.65,87.36
273,2022,3,2,2,0,0,1,2,5,0,99,84.76,65.0
274,2022,7,17,6,1,0,7,3,5,0,95,98.81,65.0
275,2021,12,7,1,0,0,1,3,4,0,88,73.14,70.0
276,2022,3,16,2,0,0,1,2,0,1,97,85.57,109.0
277,2022,5,24,1,0,0,5,3,68,1,100,86.61,40.0
278,2022,2,4,4,0,0,1,2,0,1,100,111.79,139.0
279,2021,7,25,6,1,0,5,6,25,0,92,82.87,70.0
280,2022,3,15,1,0,0,1,2,5,0,93,77.62,65.0
281,2021,4,21,2,0,0,2,3,24,0,93,75.92,70.0
282,2021,2,23,1,0,0,1,6,1,1,99,85.17,95.0
283,2022,4,29,4,0,0,2,6,55,1,100,150.9,173.73
284,2022,2,20,6,1,0,2,2,1,1,92,107.71,125.0
285,2022,12,9,4,0,0,1,1,106,1,89,103.1,132.05
286,2022,9,23,4,0,0,1,3,5,0,100,147.46,65.0
287,2022,10,4,1,0,0,2,2,25,0,100,77.29,70.0
288,2021,2,21,6,1,0,2,3,1,0,100,105.86,125.0
289,2022,10,28,4,0,0,2,3,15,0,95,168.05,65.0
290,2022,7,5,1,0,0,1,2,41,3,93,93.76,116.1
291,2022,5,29,6,1,0,1,3,58,1,74,92.14,104.0
292,2021,8,29,6,1,0,4,2,3,0,88,89.59,70.0
293,2021,8,9,0,0,0,1,2,24,0,96,80.59,70.0
294,2022,8,15,0,0,0,4,5,104,3,100,84.22,133.8
295,2022,3,13,6,1,0,1,2,0,1,90,87.62,85.0
296,2022,1,14,4,0,0,1,2,18,1,100,107.54,89.25
297,2022,6,15,2,0,0,1,2,5,0,100,91.07,65.0
298,2022,5,14,5,1,0,1,3,74,1,100,125.86,119.2
299,2022,5,20,4,0,0,1,3,58,1,100,125.44,149.0
300,2022,2,22,1,0,0,2,3,1,1,100,99.05,100.0
301,2022,3,22,1,0,0,3,2,0,1,99,86.83,109.0
302,2022,2,8,1,0,0,1,3,5,0,88,76.98,65.0
303,2022,11,7,0,0,0,4,3,24,0,83,80.2,70.0
304,2022,11,23,2,0,0,4,2,39,1,61,84.42,84.07
305,2022,9,5,0,0,0,2,3,106,1,81,80.09,102.6
306,2022,2,8,1,0,0,1,6,9,1,88,76.98,88.2
307,2022,4,17,6,1,0,1,5,103,0,82,80.24,85.0
308,2022,8,11,3,0,0,1,3,58,1,99,85.41,111.7
309,2022,11,22,1,0,0,2,3,85,1,80,84.32,86.48
310,2021,11,19,4,0,0,2,3,1,1,99,121.0,125.0
311,2022,9,26,0,0,0,1,3,0,0,100,83.7,104.0
312,2021,9,3,4,0,0,2,3,1,1,100,103.53,115.0
313,2022,7,24,6,1,0,5,3,25,0,97,89.21,70.0
314,2022,1,24,0,0,0,4,3,3,0,85,74.37,70.0
315,2022,4,7,3,0,0,1,2,0,1,100,88.39,124.0
316,2022,10,10,0,0,0,4,3,3,0,100,82.35,70.0
317,2021,12,31,4,0,1,1,2,0,0,81,105.58,85.0
318,2022,5,20,4,0,0,1,3,24,0,100,125.44,70.0
319,2022,9,2,4,0,0,1,3,48,3,100,127.68,125.45
320,2022,2,12,5,1,0,1,6,15,0,100,119.43,82.5
321,2022,1,19,2,0,0,2,3,1,1,96,77.41,115.0
322,2021,11,19,4,0,0,2,7,1,1,99,121.0,135.0
323,2022,5,7,5,1,0,1,3,18,1,100,125.34,89.25
324,2022,6,1,2,0,0,1,3,52,3,92,91.31,107.1
325,2022,2,27,6,1,0,5,3,3,0,94,112.02,70.0
326,2022,12,13,1,0,0,2,2,78,0,78,81.45,78.75
327,2022,4,8,4,0,0,2,5,55,1,100,136.23,147.54
328,2022,3,6,6,1,0,2,5,106,1,83,80.13,76.5
329,2022,8,16,1,0,0,1,3,42,1,100,84.0,88.4
330,2022,2,5,5,1,0,1,5,24,0,100,112.22,70.0
331,2022,3,3,3,0,0,1,2,9,1,93,86.11,95.76
332,2022,1,26,2,0,0,1,6,103,1,96,75.92,85.0
333,2022,12,10,5,1,0,1,3,64,1,99,148.0,184.3
334,2022,2,9,2,0,0,2,3,64,1,83,77.53,76.0
