,Month,week_number,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
403,1,4,4,0,0,1,3,9,1,91,89.82,86
404,1,3,3,0,0,1,6,24,0,98,91.08,70
405,1,6,0,0,0,2,2,24,1,100,78.06,70
406,1,5,5,1,0,1,3,1,1,100,122.01,129
407,1,6,6,1,0,1,3,58,1,63,76.11,85
408,1,5,1,0,0,1,6,64,1,93,75.62,94
409,1,5,6,1,0,2,3,14,0,78,76.06,70
410,1,6,6,1,0,5,2,25,0,63,76.11,70
411,1,5,2,0,0,1,6,64,1,96,75.92,89
412,1,4,6,1,0,1,1,64,3,99,83.51,94
413,1,3,3,0,0,1,3,58,1,98,91.08,119
414,1,2,4,0,0,2,3,15,1,86,108.62,89
415,1,5,6,1,0,1,2,0,1,78,76.06,95
416,1,2,0,0,0,2,6,72,1,93,73.59,87
417,1,2,6,1,0,5,2,0,0,88,79.73,99
418,1,5,5,1,0,1,3,1,1,100,122.01,129
419,1,5,6,1,0,1,2,11,0,78,76.06,54
420,1,5,1,0,0,1,3,0,4,93,75.62,85
421,1,5,3,0,0,1,2,0,1,99,87.29,114
422,1,2,6,1,0,1,2,0,1,88,79.73,99
423,1,5,2,0,0,1,6,9,0,96,75.92,88
424,1,3,1,0,0,1,3,4,0,96,76.55,70
425,1,4,6,1,0,2,2,0,0,99,83.51,90
426,1,5,3,0,0,1,0,0,4,99,87.29,99
427,1,5,3,0,0,1,3,72,3,99,87.29,92
428,1,1,5,1,0,1,2,0,1,79,92.58,109
429,1,5,5,1,0,1,6,15,0,100,122.01,80
430,1,5,3,0,0,1,2,4,0,99,87.29,70
431,1,4,3,0,0,1,6,0,1,100,89.22,100
432,1,2,4,0,0,1,2,0,4,86,108.62,100
433,1,3,5,1,0,6,3,25,0,100,111.28,70
434,1,3,6,1,0,1,3,0,1,61,76.0,99
435,1,2,0,0,0,1,3,20,0,93,73.59,55
436,1,4,2,0,0,2,3,1,1,96,77.41,115
437,1,2,2,0,0,1,3,4,0,82,73.67,70
438,1,4,4,0,0,1,3,25,0,91,89.82,70
439,1,5,6,1,0,5,3,3,0,78,76.06,70
440,1,5,3,0,0,2,4,64,3,99,87.29,113
441,1,4,2,0,0,1,3,0,1,96,77.41,85
442,1,5,0,0,0,1,2,0,1,85,74.37,85
443,1,6,6,1,0,1,2,43,1,63,76.11,94
444,1,3,0,0,0,1,1,58,3,82,72.59,90
445,1,1,5,1,0,1,1,64,1,79,92.58,95
446,1,4,4,0,0,1,6,0,1,91,89.82,80
447,1,4,4,0,0,1,3,49,1,91,89.82,90
448,1,5,5,1,0,1,2,107,3,100,122.01,111
449,1,4,1,0,0,1,6,0,4,98,76.0,106
450,1,2,5,1,0,1,5,0,1,100,108.21,119
451,1,2,4,0,0,1,2,9,1,86,108.62,90
452,1,2,2,0,0,1,5,78,1,82,73.67,69
453,1,3,0,0,0,1,2,72,0,82,72.59,79
454,1,4,0,0,0,1,1,49,1,94,77.55,76
455,1,2,3,0,0,1,2,5,0,84,76.19,65
456,1,4,0,0,0,1,3,9,1,94,77.55,67
457,1,2,2,0,0,1,6,9,1,82,73.67,90
458,1,4,5,1,0,1,5,0,0,100,120.28,183
459,1,4,3,0,0,3,1,18,1,100,89.22,82
460,1,3,5,1,0,1,2,0,1,100,111.28,99
461,1,5,4,0,0,1,2,4,0,100,121.52,70
462,1,5,2,0,0,1,6,64,3,96,75.92,89
463,1,4,2,0,0,2,6,69,0,96,77.41,81
464,1,1,5,1,0,1,6,0,3,79,92.58,119
465,1,5,5,1,0,1,3,64,3,100,122.01,174
466,1,4,0,0,0,1,2,64,3,94,77.55,99
467,1,2,6,1,0,1,3,28,1,88,79.73,67
468,1,4,3,0,0,2,6,64,1,100,89.22,108
469,1,3,5,1,0,2,6,0,1,100,111.28,139
470,1,4,2,0,0,2,3,1,1,96,77.41,115
471,1,2,3,0,0,1,3,104,3,84,76.19,89
472,1,4,4,0,0,1,6,25,0,91,89.82,70
473,1,3,2,0,0,4,3,104,3,94,78.84,94
474,1,4,3,0,0,2,5,0,3,100,89.22,109
475,1,5,0,0,0,1,1,20,1,85,74.37,55
476,1,6,0,0,0,1,2,0,0,100,78.06,80
477,1,3,6,1,0,5,2,3,0,61,76.0,70
478,1,5,4,0,0,1,2,1,1,100,121.52,119
479,1,2,3,0,0,1,1,58,1,84,76.19,89
480,1,3,3,0,0,2,6,107,1,98,91.08,71
481,1,5,6,1,0,5,3,25,0,78,76.06,70
482,1,2,5,1,0,1,2,0,1,100,108.21,142
483,1,5,4,0,0,2,2,53,1,100,121.52,114
484,1,5,6,1,0,5,3,25,0,78,76.06,70
485,1,5,5,1,0,1,6,25,0,100,122.01,70
486,1,4,5,1,0,2,7,103,1,100,120.28,85
